 time            v(vo)          
 8.50001300e-06  9.76122757e-01 
 8.50001700e-06  9.76121372e-01 
 8.50002000e-06  9.76120270e-01 
 8.50002080e-06  9.76120223e-01 
 8.50002240e-06  9.76120317e-01 
 8.50002560e-06  9.76121231e-01 
 8.50003200e-06  9.76123976e-01 
 8.50004480e-06  9.76128529e-01 
 8.50007040e-06  9.76133151e-01 
 8.50011736e-06  9.76136614e-01 
 8.50021129e-06  9.76106571e-01 
 8.50035529e-06  9.75910308e-01 
 8.50045898e-06  9.75759237e-01 
 8.50056982e-06  9.75736183e-01 
 8.50074056e-06  9.75749299e-01 
 8.50090386e-06  9.75741801e-01 
 8.50118945e-06  9.75748665e-01 
 8.50152627e-06  9.75743802e-01 
 8.50201372e-06  9.75748325e-01 
 8.50280019e-06  9.75744285e-01 
 8.50404680e-06  9.75748098e-01 
 8.50633578e-06  9.75744408e-01 
 8.51025794e-06  9.75748025e-01 
 8.51709561e-06  9.75744445e-01 
 8.52924397e-06  9.75748000e-01 
 8.55354070e-06  9.75744453e-01 
 8.60213414e-06  9.75747987e-01 
 8.69932103e-06  9.75744442e-01 
 8.89369481e-06  9.75747956e-01 
 9.00000000e-06  9.75744413e-01 
 9.00000100e-06  9.75744815e-01 
 9.00000300e-06  9.75745515e-01 
 9.00000700e-06  9.75745634e-01 
 9.00001000e-06  9.75744543e-01 
 9.00001051e-06  9.75744232e-01 
 9.00001153e-06  9.75743558e-01 
 9.00001357e-06  9.75742118e-01 
 9.00001765e-06  9.75739694e-01 
 9.00002581e-06  9.75737470e-01 
 9.00004212e-06  9.75738705e-01 
 9.00006999e-06  9.75745339e-01 
 9.00009977e-06  9.75755843e-01 
 9.00013673e-06  9.75769609e-01 
 9.00019438e-06  9.75786431e-01 
 9.00026171e-06  9.75801979e-01 
 9.00039636e-06  9.75826677e-01 
 9.00059387e-06  9.75852793e-01 
 9.00087520e-06  9.75866074e-01 
 9.00135514e-06  9.75876355e-01 
 9.00224155e-06  9.75892327e-01 
 9.00401436e-06  9.75929250e-01 
 9.00755999e-06  9.75982569e-01 
 9.01398595e-06  9.77967879e-01 
 9.02125339e-06  9.84605284e-01 
 9.02843440e-06  9.91118344e-01 
 9.03742983e-06  9.94596558e-01 
 9.04910252e-06  9.96004628e-01 
 9.07104496e-06  9.96985674e-01 
 9.11492983e-06  9.98524446e-01 
 9.20269958e-06  1.00168625e+00 
 9.37823909e-06  1.00787844e+00 
 9.50001000e-06  1.01214816e+00 
 9.50001100e-06  1.01214799e+00 
 9.50001300e-06  1.01214751e+00 
 9.50001700e-06  1.01214611e+00 
